1 0 0 32 768
4 32 736 960 32
4 64 96 32 32
4 96 96 32 32
3 128 96 32 32
4 160 128 32 32
4 192 128 32 32
3 224 128 32 32
2 224 256 32 32
4 256 160 32 32
4 256 256 32 32
4 288 160 32 32
4 288 256 32 32
3 320 160 32 32
4 320 256 32 32
4 352 192 32 32
4 352 256 32 32
3 384 192 32 32
4 384 256 32 32
2 384 544 32 32
4 416 256 32 32
4 416 544 32 32
3 448 256 32 32
4 448 544 32 32
2 480 224 32 32
4 480 544 32 32
3 512 224 32 32
4 512 544 32 32
4 544 544 32 32
4 576 544 32 32
4 608 544 32 32
3 640 544 32 32
4 864 32 32 32
4 864 128 32 32
4 864 224 32 32
4 864 320 32 32
4 864 416 32 32
4 896 32 32 32
4 896 128 32 32
4 896 224 32 32
4 896 320 32 32
4 896 416 32 32
4 928 32 32 32
4 928 128 32 32
4 928 224 32 32
4 928 320 32 32
4 928 416 32 32
1 992 0 32 768
